key,en,ar,az,bn,de,fr,id,it,ms,ru,tr,ur
day_format,D,D,D,D,D,D,D,D,D,D,D,D
month_format,M,M,M,M,M,M,M,M,M,M,M,M
year_format,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y
accelerometer,Accelerometer,مقياس التسارع,Akselerometr,অ্যাক্সিলোমিটার,Beschleunigungsmesser,Accéléromètre,Akselerometer,Accelerometro,Akselerometer,Акселерометр,İvmeölçer,اکسلرومیٹر
accent_color,Accent Color,اللون المميز,Vurğu Rəngi,ধাপের রঙসমূহ,Akzentfarbe,Couleur d'accentuation,Warna Aksen,Dettaglio colore,Warna Aksen,Цветовой акцент,Vurgu Rengi,ایکسینٹ رنگ
accuracy,Accuracy,الدقة,Dəqiqlik,সঠিকতা,Genauigkeit,Précision,Akurasi,Accuratezza,Ketepatan,Точность,Doğruluk,درستگی
active,Active,نشط,Aktivdir,সক্রিয়,Aktiv,Actif,Aktif,Attivo,Aktif,Активно,Aktif,فعال
add,Add,إضافة,Add,যোগ করুন,Hinzufügen,Ajouter,Tambah,Aggiungi,Tambah,Добавить,Ekle,شامل کریں
add_folder,Add folder,إضافة مجلد,Qovluq əlavə edin,ফোল্ডার যোগ করুন,Ordner hinzufügen,Ajouter un dossier,Tambah folder,Aggiungi cartella,Tambah folder,Добавить папку,Klasör ekle,فولڈر بنائیں
add_location,Add Location,إضافة موقع,Məkan əlavə edin,ঠিকানা যোগ করুন,Standort hinzufügen,Ajouter un lieu,Tambah Lokasi,Aggiungi posizione,Tambah Lokasi,Добавить Местоположение,Konum ekle,مقام شامل کریں
add_more,Add more,إضافة المزيد,Add more,আরো যুক্ত করুন,Mehr hinzufügen,Ajouter plus,Tambah lagi,Aggiungi altro,Tambah lagi,Добавить еще,Daha fazla ekle,مزید شامل کریں
adhan,Adhan,الأذان,Əzən,আজান,Adhan,Adhan,Azan,Adhan,Azan,Азан,Ezan,اذان
adhan_fajr,Adhan Fajr,أذان الفجر,Fəcr Əzəni,ফজরের আজান,Adhan Fadschr,Adhan Fajr,Azan Subuh,Adhan Fajr,Azan Subuh,Азан Фаджр,Sabah Ezanı,فجر اذان
after,After,بعد,Sonra,পরে,Nach,Après,Setelah,Dopo,Selepas,После,Sonra,بعد میں
agenda,Agenda,الأجندة,Gündəm,আলোচ্যসূচি,Tagesplan,Agenda,Agenda,Agenda,Agenda,Повестка,Ajanda,اُمور
al_adha,Eid al-Adha,عيد الأضحى,Qurban bayramı,ঈদ উল'আজহা,Eid al-Adha,AÏd al-Adha,Iduladha,Eid al-Adha,Aidil Adha,Ид аль-Адха,Kurban Bayramı,عید الاضحیٰ
al_fitri,Eid al-Fitr,عيد الفطر,Fitrə bayramı,ঈদ উল'ফিতর,Eid al-Fitr,AÏd al-Fitr,Idulfitri,Eid al-Fitr,Aidil Fitri,Ид аль-Фитр,Ramazan Bayramı,عید الفطر
alarm,Alarm,التنبيه,Siqnal,অ্যালার্ম,Alarm,Alarme,Alarm,Allarme,Penggera,Сигнал,Alarm,الارم
